maze,planner,n_edges,n_turns,n_waypoints,path_length,path_length_cells,plan_time_s,raw_waypoints,success,total_turn_deg,tree_size
small_maze,astar,,3,13,12.0,12.0,4.6253204345703125e-05,,True,270.0,
small_maze,theta_star,,4,6,10.242640687119286,10.242640687119286,0.00019288063049316406,,True,180.00000000000003,
small_maze,rrt,,28,41,19.66947007365894,19.66947007365894,0.007222890853881836,,True,1364.5165269667787,
small_maze,rrt_smooth,,8,14,12.214155415678047,12.214155415678047,0.0036580562591552734,31,True,369.44590729673234,
small_maze,bangbang_rrt,13,8,14,4.775496465617472,11.095711899089508,0.21822524070739746,,True,389.26533252875817,229
