maze,planner,n_edges,n_turns,n_waypoints,path_length,path_length_cells,plan_time_s,raw_waypoints,success,total_turn_deg,tree_size
small_maze,astar,,3,13,12.0,12.0,5.507469177246094e-05,,True,270.0,
small_maze,theta_star,,4,6,10.242640687119286,10.242640687119286,0.00019097328186035156,,True,180.00000000000003,
small_maze,rrt,,19,31,14.920161637346023,14.920161637346023,0.008026838302612305,,True,1084.9736869924095,
small_maze,rrt_smooth,,9,17,12.510258309084957,12.510258309084957,0.009701967239379883,31,True,349.81077764346327,
small_maze,bangbang_rrt,13,8,14,4.775496465617472,11.095711899089508,0.21461820602416992,,True,389.26533252875817,229
