maze,planner,feasible,n_edges,n_turns,n_waypoints,path_length,path_length_cells,plan_time_s,raw_waypoints,success,total_turn_deg,trajectory_distance,tree_size
open_field,rrt_smooth,,,0,10,18.739702341486883,18.739702341486883,0.004083156585693359,44,True,21.430924892311836,,
open_field,rrt_grid_smooth,False,25,2,26,inf,inf,0.004748106002807617,44,True,89.51428834808499,18.6582774747528,
open_field,bangbang_rrt,,31,25,32,6.534424553147849,20.42469869389209,5.721622943878174,,True,1141.4827376498938,,2398
corridor,rrt_smooth,,,0,8,20.126397582566135,20.126397582566135,0.005506038665771484,48,True,8.009974544136726,,
corridor,rrt_grid_smooth,True,23,1,24,11.831943212660077,11.831943212660077,0.006696939468383789,48,True,61.61965478955881,19.33739968655463,
corridor,bangbang_rrt,,30,22,31,6.933424274453901,21.250757897620893,5.584040880203247,,True,901.1890206138555,,2269
spiral,rrt_smooth,,,7,26,11.21497019690008,11.21497019690008,0.056121826171875,30,True,292.38086665172034,,
spiral,rrt_grid_smooth,False,30,13,31,inf,inf,0.05647468566894531,30,True,548.3889458645174,11.888840427829145,
spiral,bangbang_rrt,,58,44,59,12.955809678773479,41.94131489987627,2.141265869140625,,True,1770.1504956582553,,962
narrow,rrt_smooth,,,4,16,21.465305449429238,21.465305449429238,0.013226985931396484,51,True,222.21040337478775,,
narrow,rrt_grid_smooth,False,31,9,32,inf,inf,0.013859748840332031,51,True,394.5659348408278,21.200227732934525,
narrow,bangbang_rrt,,32,22,33,7.520136117323304,23.959401325525512,3.811828136444092,,True,1175.1132463985523,,1684
small_maze,rrt_smooth,,,2,15,10.221977474425872,10.221977474425872,0.002557992935180664,25,True,127.30671313355455,,
small_maze,rrt_grid_smooth,False,26,8,27,inf,inf,0.0032243728637695312,25,True,477.83954159563785,10.129470513727478,
small_maze,bangbang_rrt,,16,10,17,3.6529597040765474,10.45555274481148,3.0660548210144043,,True,514.7598142640297,,1330
