maze,planner,tracker,planner_time_s,path_length,n_waypoints,n_turns,status,time_s,traversed,steps,max_cte,mean_cte
open_field.csv,rrt,stanley,0.0034630298614501953,21.619390162968305,45,28,GOAL,258.1849600000495,20.28536330427695,15488,0.49142234480833963,0.1862129956909399
open_field.csv,rrt_smooth,pure_pursuit,0.004143238067626953,18.59849508569954,10,0,GOAL,208.52503000003878,17.684347330988622,12509,0.0,0.0
open_field.csv,rrt_smooth,stanley,0.004143238067626953,18.59849508569954,10,0,COLLISION,109.50523000001,10.031908871969788,6569,0.43409519107065525,0.08590998949797973
open_field.csv,rrt_grid_smooth,pure_pursuit,0.0046842098236083984,inf,30,5,COLLISION,123.5747100000141,9.632295186309479,7413,0.0,0.0
open_field.csv,rrt_grid_smooth,stanley,0.0046842098236083984,inf,30,5,GOAL,201.85703000003684,17.89088343955101,12109,0.3453757996004261,0.08626026607836124
open_field.csv,rrt_grid_smooth_strategic,pure_pursuit,0.015535116195678711,inf,6,2,COLLISION,99.76995000000717,9.92584514205009,5985,0.0,0.0
open_field.csv,rrt_grid_smooth_strategic,stanley,0.015535116195678711,inf,6,2,GOAL,181.0862100000308,17.869105208730716,10863,0.2995089303010601,0.07105979082969634
open_field.csv,rrt_smooth_bangbang_circles,pure_pursuit,0.004995107650756836,5.289804854755779,5,3,GOAL,271.6376500000305,18.10710531832508,16295,0.0,0.0
open_field.csv,rrt_smooth_bangbang_circles,stanley,0.004995107650756836,5.289804854755779,5,3,GOAL,199.43988000003614,18.95028219593704,11964,0.42641810736066466,0.0888163285336452
open_field.csv,bb_rrt_star,pure_pursuit,6.777898073196411,5.371717487127586,14,9,COLLISION,101.33693000000763,10.082864495850238,6079,0.0,0.0
open_field.csv,bb_rrt_star,stanley,6.777898073196411,5.371717487127586,14,9,GOAL,186.65399000003242,17.849301358331054,11197,0.30838551039245937,0.10225253138036902
