maze,planner,feasible,n_edges,n_turns,n_waypoints,path_length,path_length_cells,plan_time_s,raw_waypoints,success,total_turn_deg,trajectory_distance,tree_size
open_field,astar,,,5,27,26.0,26.0,0.0002830028533935547,,True,450.0,,
open_field,theta_star,,,1,3,18.612856801919357,18.612856801919357,0.0006642341613769531,,True,18.434948822922017,,
open_field,rrt,,,19,44,21.0860430587611,21.0860430587611,0.0039520263671875,,True,948.0546452578463,,
open_field,rrt_smooth,,,0,10,18.739702341486883,18.739702341486883,0.003983974456787109,44,True,21.430924892311836,,
open_field,rrt_grid_smooth,False,25,2,26,inf,18.6582774747528,0.004728794097900391,44,True,89.51428834808499,18.6582774747528,
open_field,rrt_smooth_bangbang_circles,False,5,1,6,inf,18.739702341486883,0.004476070404052734,10,True,64.20119916689197,18.739702341486883,
open_field,bangbang_rrt,,31,25,32,6.534424553147849,20.42469869389209,5.672512054443359,,True,1141.4827376498938,,2398
corridor,astar,,,6,27,26.0,26.0,0.0003070831298828125,,True,540.0,,
corridor,theta_star,,,1,3,19.362960130742056,19.362960130742056,0.0006940364837646484,,True,39.0938588862295,,
corridor,rrt,,,34,48,23.658373443641004,23.658373443641004,0.005688190460205078,,True,1733.2405080444298,,
corridor,rrt_smooth,,,0,8,20.126397582566135,20.126397582566135,0.005738019943237305,48,True,8.009974544136726,,
corridor,rrt_grid_smooth,True,23,1,24,11.831943212660077,19.33739968655463,0.006533622741699219,48,True,61.61965478955881,19.33739968655463,
corridor,rrt_smooth_bangbang_circles,True,4,2,5,5.352657559196743,20.126397582566135,0.006036996841430664,8,True,77.63960388089583,20.126397582566135,
corridor,bangbang_rrt,,30,22,31,6.933424274453901,21.250757897620893,5.476660966873169,,True,901.1890206138555,,2269
spiral,astar,,,8,44,43.0,43.0,0.0001461505889892578,,True,720.0,,
spiral,theta_star,,,6,8,37.58850563521467,37.58850563521467,0.0009500980377197266,,True,260.53767779197443,,
spiral,rrt,,,19,30,14.482925501304841,14.482925501304841,0.05500912666320801,,True,895.5200552612453,,
spiral,rrt_smooth,,,7,26,11.21497019690008,11.21497019690008,0.05452609062194824,30,True,292.38086665172034,,
spiral,rrt_grid_smooth,False,30,13,31,inf,11.888840427829145,0.055673837661743164,30,True,548.3889458645174,11.888840427829145,
spiral,rrt_smooth_bangbang_circles,False,21,7,22,inf,11.214970089946114,0.05542159080505371,26,True,278.5682663466011,11.214970089946114,
spiral,bangbang_rrt,,58,44,59,12.955809678773479,41.94131489987627,2.087459087371826,,True,1770.1504956582553,,962
narrow,astar,,,10,28,27.0,27.0,0.0001621246337890625,,True,900.0,,
narrow,theta_star,,,4,6,21.240912633735487,21.240912633735487,0.0007140636444091797,,True,184.1849161251184,,
narrow,rrt,,,27,51,24.749886841585713,24.749886841585713,0.012954950332641602,,True,1141.1016394982573,,
narrow,rrt_smooth,,,4,16,21.465305449429238,21.465305449429238,0.013041257858276367,51,True,222.21040337478775,,
narrow,rrt_grid_smooth,False,31,9,32,inf,21.200227732934525,0.01379084587097168,51,True,394.5659348408278,21.200227732934525,
narrow,rrt_smooth_bangbang_circles,False,11,5,12,inf,21.46513428168604,0.013450384140014648,16,True,247.14659004864768,21.46513428168604,
narrow,bangbang_rrt,,32,22,33,7.520136117323304,23.959401325525512,3.7074151039123535,,True,1175.1132463985523,,1684
small_maze,astar,,,2,13,12.0,12.0,5.412101745605469e-05,,True,180.0,,
small_maze,theta_star,,,4,6,10.242640687119286,10.242640687119286,0.0001850128173828125,,True,180.00000000000003,,
small_maze,rrt,,,16,25,11.438183889216331,11.438183889216331,0.0026030540466308594,,True,834.0701683085458,,
small_maze,rrt_smooth,,,2,15,10.221977474425872,10.221977474425872,0.0025839805603027344,25,True,127.30671313355455,,
small_maze,rrt_grid_smooth,False,26,8,27,inf,10.129470513727478,0.003216981887817383,25,True,477.83954159563785,10.129470513727478,
small_maze,rrt_smooth_bangbang_circles,False,8,3,9,inf,10.221967771146483,0.0029098987579345703,15,True,193.79160308644606,10.221967771146483,
small_maze,bangbang_rrt,,16,10,17,3.6529597040765474,10.45555274481148,3.036379814147949,,True,514.7598142640297,,1330
